round,error1,error2,error3,error4,error5,error6,error7,error8,error9,error10
114,4.1489335999,0.0088374039,0.1367288462,0.3481361107,0.2980201781,0.2413362572,0.0236984283,1.1595509881,2.4746577375,0.0372423979
115,4.1638712675,0.002022174,0.1085090733,0.2893585493,0.3240367462,0.2025995298,0.0266253666,1.2828427156,2.4747946705,0.0705984552
116,4.1626089748,0.0008352346,0.4677053629,0.2221741078,0.3051091959,0.1692121284,0.0228392406,1.4042333801,2.4747441765,0.0633061648
117,4.1626553109,0.0008558925,0.4285437606,0.2300242877,0.3010585203,0.1367357673,0.0111277744,1.5106637496,2.4795703164,0.0543328142
118,4.1835289392,0.0083528364,0.3883542345,0.1906877701,0.2848856338,0.4397621434,0.045499112,1.1892674806,2.4790277005,0.053151472
119,4.1846460467,0.0190145332,0.2257150968,0.2139455284,0.2723135733,0.379243931,0.0035051895,0.6298401997,0.0504699717,0.0325074412
120,2.965648992,0.0156364323,0.198110679,0.1868146015,0.2536059005,0.3137137153,0.0042224919,0.5585992924,0.0350882872,0.0336726526
121,2.965266054,0.0221352969,0.1973526753,0.1090290399,0.2889651287,0.2713356464,0.0056462049,0.4015108258,0.0499255441,0.0430732705
122,2.9627390031,0.0242884689,0.1857747164,0.0531870912,0.3269443059,0.2380228237,0.0039392187,0.3161676362,0.0505270329,0.0444706155
123,2.9474070606,0.0130118219,0.1771559357,0.1302512399,0.3011208172,0.2461278172,0.0107614195,0.6698986357,0.0350481733,0.0358640406
124,2.9451826489,0.0139330007,0.1512668468,0.0820113594,0.3201012289,0.2017567783,0.0145375166,0.5631156209,0.0296752937,0.0380483065
125,2.9599004438,0.0215834743,0.1362742576,0.0593085794,0.3072328202,0.1719360941,0.0156895792,0.4695584411,0.0303256281,0.0399922448
126,2.9662772185,0.0231612752,0.2983272551,0.0514652432,0.2887667433,0.1400758169,0.0132388328,0.3919306439,0.0298778106,0.0381394304
127,2.9670696965,0.0147325721,0.2687033974,0.066507164,0.2835317614,0.1093425551,0.0048692507,0.3311542626,0.0348195326,0.0429909802
128,2.9717704133,0.0248984175,0.2412118353,0.0532180952,0.2688039091,0.0783958787,0.0053247628,0.7094526333,0.0337030519,0.0430706344
129,2.9717287807,2.9998516564,0.2799735804,4.1577766399,3.9755971184,3.0133858332,0.0480613181,0.5318676219,0.0789035672,0.0061595137
130,0.0435315279,2.9964268569,0.2972892777,4.1665528923,3.9587309275,3.0263683743,0.0474334134,0.4196758242,0.0753852098,0.0068287887
131,0.0399754499,2.9995387765,0.3106640852,4.2394116825,3.9892210572,3.0313323233,0.0527530284,0.2979962371,0.0847252196,0.0025133837
132,0.0589606649,3.0109744723,0.3165291014,4.2632141287,4.0425438124,3.0644232361,0.063135148,0.2083508923,0.0761779037,0.0063992108
133,0.0492865152,3.0027064838,0.3014126393,4.2604956249,4.017887771,3.0523033582,0.0544275241,0.5784986008,0.0728442161,0.0005635773
134,0.0469686948,3.0036968899,0.3207546457,4.283697981,4.0357280545,3.057875257,0.0505961113,0.4781520649,0.0777176223,0.0002174666
135,0.0575092555,3.0116059987,0.2466151822,4.2818252585,4.0200518274,3.0626243212,0.0501946947,0.389274987,0.0788551374,0.0009006062
136,0.0571717426,3.0124843857,0.2538290924,4.2872849486,4.0031887029,3.0661037563,0.0519565927,0.3177898832,0.0770882897,0.0034204467
137,0.0560055648,3.0107261513,0.2590190031,4.2515045456,3.9941173244,3.0724143609,0.0544999447,0.2663136565,0.0784992769,0.0048060044
138,0.0571540375,3.0193052846,0.2654536724,4.2486967279,3.9807415797,3.0832750997,0.0533785452,0.6570358038,0.0770440564,0.0042677871
139,0.0561701449,3.2440081494,3.2452500096,2.6858899663,4.8641633566,2.9466218934,3.261020419,0.4881598396,0.0512492185,0.0053030569
140,0.6594531977,3.2390795476,3.2442394591,2.6846649439,4.8441090885,2.9466636358,3.2595392395,0.3747829649,0.0489285431,0.0028559029
141,0.6515474957,3.2374875158,3.2510074189,2.7223908619,4.8657324563,2.9427491011,3.261008068,0.2822777716,0.0524744299,0.0045473296
142,0.6592751216,3.2452587343,3.255147276,2.7367335215,4.9047963305,2.9375639249,3.2667987634,0.1956015785,0.0516163016,0.0069631444
143,0.653479507,3.2436536173,3.2455665291,2.7437786461,4.8976686079,2.9333044274,3.2649912581,0.1640520257,0.0184575383,0.0079580649
144,0.6576330137,3.2466918469,3.2547285886,2.7522753339,4.9049218728,2.9393603005,3.2648854708,0.1349924148,0.0167559754,0.0086738457
145,0.6638089433,3.2524014566,3.2611050604,2.7463921469,4.8926410602,2.9388051441,3.2651308328,0.1094267168,0.0124566878,0.0091680051
146,0.6712250187,3.2524248853,3.260960257,2.7430779694,4.8812034153,2.9395127378,3.2661525052,0.0890356548,0.0124378667,0.0100392454
147,0.6703133617,3.2505731971,3.2628792521,2.7390005921,4.8718895486,2.9400245796,3.2671427427,0.0747664061,0.0068801727,0.010481475
148,0.6723729972,3.2574383474,3.2640917732,2.7286604678,4.8651114161,2.9479356847,3.2657206561,0.0506693884,0.005381699,0.0093614119
149,0.6715091173,4.069031248,3.2684388314,2.7245024948,1.9936454907,3.098423711,2.9187449668,0.0256271934,0.0142631011,0.0096023095
150,0.6408922832,4.0642131533,3.2702429388,2.7226410023,1.9833851681,3.0988730714,2.9172260839,0.0105652245,0.0117244816,0.0069680909
151,0.6387244247,4.0592923255,3.2739982009,2.7512265851,1.9984062545,3.1002357255,2.917163397,0.002051315,0.0054807729,0.0045554854
152,0.6420068475,4.0685263546,3.2772028283,2.7606407617,2.0319169917,3.0979441262,2.9201941695,0.0081908134,0.0206591367,0.0058264859
153,0.638660901,4.0689628983,3.2000493788,2.7731453006,2.0275879748,3.0962690427,2.920442656,0.018633096,0.0079679049,0.0093077717
154,0.6469756468,4.070359815,3.2155272219,2.7751310018,2.031398358,3.0997021267,2.9201218943,0.0213475387,0.0068171265,0.0098027506
155,0.6524311348,4.0748648048,3.2155008753,2.7683717834,2.0221609928,3.0997402179,2.9200141845,0.0202272982,0.0047277117,0.0095989368
156,0.6515956742,4.0748183588,3.2256956434,2.7624375666,1.8067264411,3.0990835458,2.9208980299,0.0196061612,0.0061808089,0.0114022844
157,0.6508505159,4.0724288694,3.2379785408,2.7568045594,1.8298719178,3.1014745482,2.9213208912,0.0205687746,0.0030341945,0.0119113022
158,0.6524239129,4.0794412275,3.2461223348,2.7459887182,1.8452439656,3.1066193957,2.9199285096,0.0279254745,0.0030566244,0.0105847439
159,0.651051046,0.6061018412,4.1236213008,1.84217848,1.616565548,0.5826577199,0.0253069853,0.0053970498,0.0098404372,2.6444280928
160,0.0306955929,0.6015765219,4.1271232707,1.8406118427,1.6231183069,0.5824425981,0.0241433156,0.0095936378,0.0111404881,2.6419642474
161,0.0287369767,0.595996564,4.1307624126,1.8690271516,1.6485030155,0.5831517306,0.0235213243,0.0483351978,0.0144523534,2.6404932688
162,0.0294777428,0.6035485149,4.1350132423,1.8627429369,1.6870327866,0.5703385001,0.0194236672,0.0309411642,0.025462178,2.6393869632
163,0.0319666214,0.6090764361,4.0350953083,1.876659428,1.6988088742,0.574123477,0.024055159,0.0064578959,0.0014788003,2.6480573221
164,0.0389205034,0.6103369416,4.0479229485,1.8398803673,1.7160323688,0.577433405,0.0241734734,0.0017652664,0.0031577733,2.6484410627
165,0.0457606448,0.6189462841,4.0501950008,1.8334499076,1.7167780955,0.579164358,0.0257161303,0.0029180922,0.0057064298,2.6482820694
166,0.034403602,0.6176724423,4.0738055504,1.8318418673,1.7183226989,0.5787872523,0.0263326584,0.0887108334,0.0057454777,2.6425226787
167,0.0336457881,0.614629683,4.090532362,1.8291334597,1.7182007553,0.5801649634,0.0263966602,0.0759620476,0.0091986114,2.6424546399
168,0.0345256466,0.6207098553,4.1038382802,1.8205426424,1.7164381588,0.5833141835,0.0249795749,0.0579292092,0.0088061347,2.6406884774
169,0.0328787116,0.5962439605,3.2886729009,0.080722263,1.7685225118,0.57567803,0.6055114043,0.0459481303,0.0054218191,3.077203334
170,0.0195432733,0.5917588366,3.2896173147,0.0813412283,1.765622087,0.57491955,0.6043292224,0.0327115712,0.0039284696,3.0740604486
171,0.0200116144,0.5899212784,3.2932342913,0.1079163269,1.7745823454,0.5746235114,0.6059097098,0.1011539955,0.0050175533,3.0735214595
172,0.0201515475,0.5965368335,3.2985193453,0.1121489131,1.8028693821,0.573701618,0.6032232332,0.071875021,0.0474226722,3.0754556877
173,0.0206890093,0.6001590104,3.1808114109,0.1275954477,1.8078762088,0.5764332333,0.6059769693,0.0367669267,0.0246362472,3.0801259855
174,0.0258793461,0.6027705147,3.190609171,0.1376758254,1.8194327585,0.5817475873,0.6078170333,0.0243669809,0.0205128122,3.0806898603
175,0.0314123663,0.6127522237,3.1924304017,0.1268642367,1.8135359722,0.5829864823,0.6102544272,0.021654324,0.0171456115,3.0633967848
176,0.0311196906,0.6120558779,3.2224784396,0.131839489,1.8125514301,0.5832593068,0.6112547452,0.1077908874,0.0941820565,3.0653719125
177,0.0300737828,0.6099673072,3.2434553453,0.1280433467,1.8093407798,0.5834666261,0.6102508456,0.0917942885,0.1645876767,3.0669522384
178,0.0300090899,0.6147572005,3.2581159731,0.0820141032,1.8046836138,0.5850852967,0.6080646261,0.0718758308,0.1468985726,3.0644320846
179,0.0193094981,2.0237374839,3.1380500435,0.0240569057,0.0777308042,2.0297774371,2.1221275402,0.0576897915,0.1089876416,3.5315482829
180,0.0251263536,2.0360759458,3.1415673713,0.0363096816,0.0734443096,2.0366262308,2.122418011,0.0437986164,0.087870602,3.5265803887
181,0.0263872177,2.0407707987,3.148956619,0.0094958149,0.0772978238,2.03944761,2.1252392932,0.1177000011,0.1022680666,3.4976615174
182,0.0247529028,2.0543570719,3.1575282013,0.005405104,0.0986300257,2.0369422317,2.1238308018,0.0874215397,0.1609235999,3.5032719923
183,0.0254871124,2.0651165213,3.0092918641,0.0090704022,0.1038732826,2.0426665359,2.129270906,0.0536759134,0.1133234857,3.5147595613
184,0.0375181463,2.081790706,3.0178698172,0.0409958692,0.1246686233,2.0637375073,2.13516751,0.0436354652,0.0995163303,3.5188132798
185,0.0453705677,2.1026676138,3.0243917245,0.0363674419,0.1211667453,2.0612406796,2.1397676382,0.4123546409,0.0853544714,3.5149506098
186,0.0460998043,2.1023975736,3.0747143628,0.0415359173,0.1197396593,2.0647788318,2.142639422,0.4377256748,0.4579078241,3.5170308101
187,0.0449020998,2.1034965555,3.0983377213,0.0378038945,0.1173514649,2.0671080809,2.1433820772,0.3751367818,0.4684377736,3.5194241154
188,0.0453691587,2.1089309327,3.1197302157,0.1135827077,0.1116634193,2.0726282888,2.1427545585,0.3102013626,0.4125675433,3.5184082232
189,0.0209433214,1.9258548986,4.2098937461,5.1640150819,3.7650112447,1.9422053817,2.1247539184,0.2467149952,0.312980675,2.0763732342
190,0.0406691493,1.9455440181,4.236163704,5.172755964,3.7750039195,1.9499129148,2.1227560149,0.2009366371,0.2465547908,2.0755738249
191,0.0433879483,1.956332825,4.2955473727,5.2026797371,3.7857646862,1.9544528072,2.131625214,0.2506720369,0.2471096843,2.0811345463
192,0.0521091014,1.9795021162,4.3267618798,5.2077412834,3.813944338,1.9766814672,2.1390184807,0.1794893146,0.1923613139,2.0925403907
193,0.0520452633,1.9881924219,4.1233027599,5.2310199314,3.8296207062,1.9847538016,2.1470302396,0.1368238457,0.1454821112,2.0987409113
194,0.0621991038,1.992826003,3.9602768349,5.2633789932,3.8550641069,2.0056463252,2.1613186479,0.1182089676,0.1177695088,2.1000358147
195,0.0627495493,2.0501092501,3.9934299699,5.260163527,3.8579512047,2.0240128745,2.1612041425,0.5439624888,0.0936806875,2.1022983112
196,0.0650037273,2.0486691702,4.0895405,5.2658940616,3.8610101613,2.0262750918,2.1651989504,0.5481128416,0.4479558679,2.103265708
197,0.0611186843,2.0499496747,4.165434179,5.2640078907,3.8615935114,2.0266809444,2.1651981641,0.5095875698,0.3790681228,2.1038830532
198,0.0591827182,2.053205975,4.2243176849,5.0275212896,3.6539942298,2.0303692325,2.1638777744,0.4421189494,0.3285088537,2.1026483907
199,0.0203827776,0.0638408494,0.6130825596,0.2717057812,0.1330112757,0.0775506639,3.529569634,0.2943285368,0.2817505548,2.1400203723
200,0.0336349853,0.0423374771,0.5536420863,0.2551170064,0.1669660868,0.069616275,3.5387164275,0.2418909395,0.231715269,2.1402761759
201,0.0398088277,0.0231438368,0.4109871582,0.2221387356,0.1940792276,0.0626163313,3.5635391186,0.2672961999,0.3205888711,2.1425623757
202,0.0430207038,0.0110401208,0.3448672796,0.216392057,0.2437682671,0.0539947765,3.5864118383,0.2299834589,0.234670319,2.1463856304
203,0.0336884552,0.0042359042,0.6625661574,0.1973936449,0.253508675,0.0548018526,3.5981506477,0.1849477982,0.1904893124,2.1451565246
204,0.033443924,0.0067428585,0.8551137137,0.1643968359,0.2896845125,0.0533156381,3.6216365189,0.1636558612,0.167564846,2.1468765142
205,0.0275676326,0.0380527649,0.7864134822,0.1595490099,0.3152894755,0.0453812262,3.5998048705,0.5853401246,0.1376819131,2.153843094
206,0.032712113,0.037467808,0.6334985376,0.1508548491,0.3295278651,0.0408731724,3.6060970329,0.5818674316,0.4473111859,2.1554630672
207,0.0297879801,0.0408280329,0.5222802908,0.149805066,0.34054843,0.0400481782,3.6057910934,0.4991792978,0.3810921007,2.1562540926
208,0.0291073065,0.0372575584,0.4254764725,0.4051307556,0.0595453663,0.0375711634,3.6047548593,0.4326513694,0.3370937453,2.1696328953
209,0.0060878372,0.1137022446,2.4241680994,0.2421215787,0.348011253,0.0983545837,0.0389625627,0.3125631453,2.6921173879,1.8052496584
210,0.0246751968,0.0909157233,2.5170630433,0.2156208422,0.2842305344,0.0904878037,0.0295306207,0.3011339229,2.7133019049,1.8251387469
211,0.0300142327,0.0749950253,2.7156164873,0.1843846594,0.2622144754,0.0850954403,0.0131169997,0.3082162515,2.6267279213,1.8426355913
212,0.0280440789,0.0706373288,2.7898160169,0.1519994332,0.2171633841,0.0705816066,0.0011792394,0.2545639491,2.6955741076,1.8602187885
213,0.0171135042,0.0694213646,2.3939173755,0.1273927871,0.1988617172,0.0669785954,0.0206517634,0.2268251863,2.7128552156,1.8719368054
214,0.0180437457,0.0852321578,2.1860098993,0.1880343531,0.1752899994,0.058715293,0.0494479564,0.2419603064,2.729301634,1.8804103354
215,0.0162846852,0.074541315,2.2828043785,0.1815299378,0.1559051153,0.0458502233,0.0546929581,0.5150636766,2.7635779207,1.927875885
216,0.0213623018,0.0723718165,2.4638223558,0.1716409514,0.1400111446,0.0430403159,0.0571325252,0.4495124179,2.4751710922,1.9322923113
217,0.0189539479,0.0689334171,2.593835924,0.1719094162,0.1271812302,0.0433098416,0.0569460409,0.3856876123,2.5500719164,1.9361068353
218,0.0187309163,0.070857221,2.6983759833,0.3232394832,0.5036773165,0.0406237239,0.0113688899,0.3352942215,2.5937749423,1.9373168907
219,0.0210556444,0.085443917,4.7232533514,0.2222116162,0.3473096345,0.0072540777,0.0458707428,0.1856561361,2.4945049335,1.8982595686
220,0.069334993,0.0936112575,4.8394935416,0.2388847281,0.2879138982,0.0083108391,0.0442158087,0.1573695645,2.5365236156,1.9600108276
221,0.0699716932,0.0990355189,5.0591934712,0.267006464,0.2685541984,0.0100269629,0.0486589058,0.1297631777,2.4572464756,1.9800542299
222,0.0694049301,0.1001896971,5.1431179306,0.2694357717,0.222967862,0.0091495716,0.0532218571,0.1347031234,2.5172904862,1.9981178102
223,0.0616128167,0.0992819724,4.6971545578,0.2896638302,0.2059938263,0.0113800564,0.0568079012,0.1292870891,2.5480507711,2.0096948908
224,0.004822706,0.0985619493,4.4242671589,0.3054673292,0.1885725823,0.005300883,0.0720143026,0.1140905856,2.5313983395,1.9339080615
225,0.0039816305,0.1154991213,4.5462264665,0.3067012337,0.1893033074,0.0040172554,0.0487952141,0.3286724755,2.5632093553,1.9989143275
226,0.0069524827,0.1140329014,4.733763046,0.3152008988,0.171668622,0.0021966196,0.0466254314,0.2761278325,2.236570238,2.0249715117
227,0.0021548852,0.1154396529,4.8609317115,0.3134990554,0.1586123382,0.0008690264,0.0479052606,0.2287022742,2.3247930884,2.0450420124
228,0.0012411033,0.115929863,4.9684928497,0.2930904631,0.1505762105,0.0005923789,0.0467318014,0.1930904436,2.3750138548,2.0612743011
229,0.0004628054,0.0136749618,2.3351660924,0.1366887057,1.3196454172,0.0144456289,0.0451663303,0.1366523692,2.5463281194,0.4488671887
230,0.0564647942,0.015395909,2.4585127621,0.1346489886,1.3282323719,0.0174605664,0.0420952316,0.1606610276,2.5920436533,0.3771900385
231,0.0576810115,0.0154577745,2.6319536057,0.1193036204,1.3279904301,0.0168258016,0.0449173392,0.1543197821,2.2891535826,0.3544667287
232,0.0587624888,0.0202204115,2.7150725809,0.1192010139,1.3503881697,0.0156963999,0.0468546346,0.1451650214,2.3808082074,0.328040317
233,0.0598575486,0.0250933778,2.2704961265,0.1041140373,1.3624102405,0.0130711008,0.0552833159,0.14469541,2.4417178419,0.3099089458
234,0.0620870166,0.0246613261,1.9727676914,0.0947865057,1.3693570359,0.006473443,0.0702561816,0.1320854767,2.4946826586,0.2622080791
235,0.0626399331,0.0381220639,2.1213834829,0.1018755632,1.3563439831,0.0023084161,0.0758584717,0.2865171863,2.5676856634,0.1789677882
236,0.0624833949,0.0368666258,2.3082239781,0.0899850543,1.3627830158,0.0008224792,0.0736782575,0.2437370395,2.2204403288,0.1546193796
237,0.0578105616,0.0369821752,2.4243247695,0.0998855342,1.3768875683,0.0031339004,0.0734615773,0.2058270492,2.3468954821,0.1373215458
238,0.0563567665,0.0366060237,2.529702363,0.1040780763,1.3778845772,0.0033945876,0.0707932535,0.1786947305,2.4225150418,0.1218578593
239,0.0546708251,0.0188891852,1.1105329466,0.0039385076,0.039884454,0.0006370805,0.038809427,0.0824296486,2.6020354852,0.42359546
240,0.0440479755,0.0236736999,0.983901997,0.0053237458,0.035358702,0.0026281478,0.0582651394,0.0678270739,2.660271694,0.3466760743
241,0.0441984587,0.0235228843,0.7771705755,0.0041868153,0.0401328013,0.0087843429,0.0578436219,0.0616422623,2.3161259852,0.3341168449
242,0.0223702537,0.0173521294,0.7058899324,0.0050502154,0.0259893751,0.0083827508,0.0597320374,0.0507535416,2.4324985898,0.3093115465
243,0.0287209543,0.0207920988,1.142183578,0.0057343008,0.0162129947,0.0042643722,0.0659195559,0.0451751316,2.513787517,0.2894245637
244,0.0330037876,0.0211480312,1.4585260722,0.0125074521,0.0128872617,0.0023988316,0.0777147186,0.0348595085,2.5739772106,0.2382795343
245,0.1529308351,0.0318680874,1.2885498859,0.0920156912,0.1233793128,0.0107715782,0.0815372861,0.1741649175,2.6514039732,0.1520348733
246,0.1514654482,0.0251409069,1.1041852877,0.0784799604,0.1086135989,0.0085822303,0.0053265467,0.1351690806,2.2939555489,0.1260801248
247,0.1257549865,0.018275556,0.9963602579,0.0697392248,0.0976725388,0.0070353565,0.0021694573,0.1002790486,2.4323367718,0.1170514841
248,0.0972969615,0.0123295777,0.902056062,0.0526729393,0.0899500843,0.0007972003,0.0016686685,0.5212202529,2.5170007427,0.0756037491
249,0.0687666196,0.0252666811,3.1961126043,1.1514724581,0.0207787222,0.0308931886,0.0058386304,3.0891802453,2.5864298264,0.1057384587
250,0.0678609252,0.0360234425,3.3145887775,1.1661454885,0.0069256209,0.0389404012,0.0074919617,3.1948200535,2.6499205569,0.1051790406
251,0.061174744,0.0488046316,3.4604005134,1.1690249607,0.0092470225,0.04470422,0.0193081173,3.2403259174,2.3114376366,0.1050250415
252,0.0840368487,0.0487548974,3.5717735919,1.1699833019,0.0185045053,0.0480241243,0.0246085765,3.2715080323,2.4441837295,0.106232585
253,0.0599912145,0.0563330405,3.1116561152,1.1760655218,0.0137883624,0.0558697266,0.0370757979,3.2858596095,2.5341002403,0.0879987212
254,0.052032575,0.0565144715,2.7869037415,1.1823572784,0.0096818084,0.0579481031,0.042435749,3.3112671846,2.5896471241,0.0734312457
